Stanza,Lemmas,Original
to,to,to
hope,hope,hope
for,for,for
the,the,the
best,best,best
or,or,or
better,better,better
yet,yet,yet
a,a,a
miracle,miracle,miracle
I,I,I
smoke,smoke,smoke
as,as,as
much,much,much
as,as,as
I,I,I
can,can,can
about,about,about
a,a,a
half,half,half
pack,pack,pack
to,to,to
a,a,a
pack,pack,pack
a,a,a
week,week,week
on,on,on
a,a,a
homeless,homeless,homeless
man,man,man's
's,s,
salary,salary,salary
smoking,Smoke,Smoking
help,help,helps
I,me,me
relax,relax,relax
and,and,and
give,give,gives
I,me,me
some,some,some
peace,peace,peace
so,so,so
I,I,I
do,do,do
what,what,what
I,I,I
have,have,have
to,to,to
to,to,to
get,get,get
they,them,them
so,So,So
if,if,if
I,I,I
have,have,have
to,to,to
panhandle,panhandle,panhandle
or,or,or
cash,cash,cash
in,in,in
bottle,bottle,bottles
to,to,to
buy,buy,buy
they,them,them
then,then,then
that,that,that's
be,s,
what,what,what
I,I,I
do,do,do
if,If,If
need,need,need
be,be,be
I,I,I
can,can,can
bum,bum,bum
a,a,a
few,few,few
smoke,smoke,smokes
off,off,off
someone,someone,someone
at,at,at
the,the,the
shelter,shelter,shelter
in,in,in
exchange,exchange,exchange
for,for,for
something,something,something
I,I,I
have,have,have
stash,stash,stashed
like,like,like
for,for,for
a,a,a
snack,snack,snack
or,or,or
a,a,a
soda,soda,soda
even,even,even
so,so,so
that,that,that's
be,s,
what,what,what
I,I,I
do,do,do
for,for,for
my,my,my
sanity,sanity,sanity
of,Of,Of
course,course,course
I,I,I
know,know,know
the,the,the
smoking,smoke,smoking
make,make,makes
my,my,my
breathing,breathe,breathing
worse,worse,worse
and,and,and
this,this,this
cough,cough,cough
do,Do,Do
you,you,you
think,think,think
stupid,stupid,stupid
it,It,It's
be,be,
print,print,printed
on,on,on
the,the,the
package,package,package
what,What,What
do,do,do
you,you,you
expect,expect,expect
from,from,from
I,me,me
I,I,I
be,be,am
in,in,in
the,the,the
cold,cold,cold
all,all,all
day,day,day
long,long,long
and,and,and
usually,usually,usually
sleep,sleep,sleeping
on,on,on
the,the,the
street,street,streets
or,or,or
in,in,in
that,that,that
dusty,dusty,dusty
crowded,crowd,crowded
shelter,shelter,shelter
no,No,No
matter,matter,matter
where,where,where
I,I,I
be,be,am
I,I,I
struggle,struggle,struggle
to,to,to
breathe,breathe,breathe
or,or,or
find,find,find
myself,myself,myself
wheez,wheeze,wheezing
especialliy,especialliy,especialliy
in,in,in
that,that,that
shelter,shelter,shelter
at,At,At
least,least,least
I,I,I
get,get,get
some,some,some
enjoyment,enjoyment,enjoyment
from,from,from
smoking,smoke,smoking
when,When,When
I,I,I
have,had,had
they,them,them
I,I,I
use,use,used
they,them,them
like,like,like
I,I,I
be,be,was
tell,tell,told
one,One,One
I,I,I
take,take,take
when,when,when
I,I,I
really,really,really
breathe,breathe,breathe
and,and,and
the,the,the
other,other,other
one,one,one
be,be,was
for,for,for
every,every,every
day,day,day
but,But,But
I,I,I
be,be,wasn't
not,n't,
sell,sell,selling
they,them,them
if,if,if
that,that,that's
be,be,
what,what,what
you,you,you
think,think,think
they,they,they
be,be,were
steal,steal,stolen
and,and,and
that,that,that's
be,be,
the,the,the
only,only,only
reason,reason,reason
why,why,why
I,I,I
come,came,came
in,in,in
like,Like,Like
I,I,I
say,say,said
I,I,I
be,be,am
only,only,only
here,here,here
because,because,because
I,I,I
can,can,can
barely,barely,barely
breathe,breathe,breathe
if,If,If
I,I,I
have,had,had
money,money,money
to,to,to
buy,buy,buy
they,them,them
or,or,or
could,can,could
get,get,get
they,them,them
myself,myself,myself
I,I,I
will,will,won't
not,not,
be,be,be
waste,waste,wasting
you,you,you
time,time,time
or,or,or
mine,mine,mine
but,But,But
I,I,I
afford,afford,afford
the,the,the
prescription,prescription,prescription
they,they,they
give,give,gave
I,me,me
and,and,and
I,I,I
do,do,don't
not,n't,
have,have,have
insurance,insurance,insurance
so,So,So
I,I,I
be,be,am
hope,hope,hoping
to,to,to
gettry,gettrying,gettrying
to,to,to
get,get,get
those,those,those
free,free,free
sample,sample,samples
again,again,again
but,But,But
just,just,just
so,so,so
you,you,you
know,know,know
I,I,I
be,be,am
risk,risk,risking
my,my,my
neck,neck,neck
use,use,using
they,them,them
they,they,they
be,be,are
a,a,a
hot,hot,hot
commodity,commodity,commodity
every,Every,Every
addict,addict,addict
be,be,is
try,try,trying
to,to,to
get,get,get
they,their,their
hand,hand,hands
on,on,on
they,them,them
to,to,to
increase,increase,increase
they,their,their
high,high,high
no,no,no
joke,joke,joke
I,I,I
get,get,got
jump,jump,jumped
they,They,They
beat,beat,beat
I,me,me
bad,bad,bad
just,just,just
for,for,for
a,a,a
couple,couple,couple
of,of,of
inhaler,inhaler,inhalers
and,and,and
a,a,a
backpack,backpack,backpack
with,with,with
the,the,the
few,few,few
belonging,belonging,belongings
that,that,that
I,I,I
have,have,have
to,to,to
my,my,my
name,name,name
and,And,And
a,a,a
bunch,bunch,bunch
of,of,of
newspaper,newspaper,newspaper
I,I,I
carry,carry,carry
with,with,with
I,me,me
to,to,to
stuff,stuff,stuff
my,my,my
clothes,clothes,clothes
to,to,to
stay,stay,stay
warm,warm,warm
besides,Besides,Besides
use,use,using
the,the,the
inhaler,inhaler,inhalers
be,be,is
when,when,when
a,a,a
nearby,nearby,nearby
church,church,church
give,give,gave
away,away,away
winter,winter,winter
scarve,scarf,scarves
and,and,and
face,face,face
mask,mask,masks
around,around,around
Christmas,Christmas,Christmas
time,time,time
then,then,then
I,I,I
could,can,could
cover,cover,cover
my,my,my
face,face,face
and,and,and
I,I,I
even,even,even
get,get,got
a,a,a
pair,pair,pair
of,of,of
good,good,good
glove,glove,gloves
and,and,and
some,some,some
boot,boot,boots
they,They,They
be,be,were
my,my,my
life,life,life
saver,saver,saver
on,on,on
that,that,that
day,day,day
and,And,And
I,I,I
do,do,didn't
not,n't,
have,have,have
to,to,to
use,use,use
the,the,the
one,one,one
inhaler,inhaler,inhaler
so,so,so
much,much,much
and,and,and
I,I,I
do,do,didn't
not,n't,
have,have,have
to,to,to
worry,worry,worry
so,so,so
much,much,much
about,about,about
lose,lose,losing
my,my,my
finger,finger,fingers
or,or,or
toe,toe,toes
to,to,to
the,the,the
cold,cold,cold
man,Man,Man
what,What,What
ahelp,ahelp,ahelp
that,that,that
be,be,was
because,because,because
breathe,breathe,breathing
all,all,all
that,that,that
damn,damn,damn
cold,cold,cold
air,air,air
make,make,makes
it,it,it
impossible,impossible,impossible
for,for,for
I,me,me
to,to,to
breathe,breathe,breathe
and,and,and
then,then,then
I,I,I
get,get,get
a,a,a
hack,hack,hacking
cough,cough,cough
that,that,that
just,just,just
will,will,won't
not,n't,
leave,leave,leave
but,but,but
a,a,a
but,But,But
that,that,that
be,be,was
two,two,two
year,year,years
ago,ago,ago
most,most,most
people,people,people
only,only,only
think,think,think
about,about,about
we,us,us
when,when,when
the,the,the
season,season,season
be,be,is
right,right,right
the,The,The
shelter,shelter,shelter
barely,barely,barely
give,give,gives
out,out,out
any,any,any
thing,thing,thing
to,to,to
really,really,really
help,help,help
in,in,in
this,this,this
cold,cold,cold
oh,Oh,Oh
maybe,maybe,maybe
a,a,a
cup,cup,cup
or,or,or
cofee,cofee,cofee
or,or,or
hot,hot,hot
chocolate,chocolate,chocolate
if,if,if
they,they,they
have,have,have
it,it,it
on,on,on
hand,hand,hand
that,That,That's
be,s,
not,not,not
do,do,doing
anything,anything,anything
to,to,to
help,help,help
my,my,my
breathing,breathe,breathing
or,or,or
my,my,my
freezing,freeze,freezing
hand,hand,hands
and,and,and
foot,foot,feet
for,for,for
sure,sure,sure
my,My,My
face,face,face
and,and,and
arm,arm,arms
it,It,It
feel,feel,feels
like,like,like
it,it,it
hurt,hurt,hurts
everywhere,everywhere,everywhere
be,be,Is
that,that,that
bad,bad,bad
ok,Ok,Ok
but,but,but
that,that,that's
be,s,
go,gonna,gonna
to,,
hurt,hurt,hurt
look,look,looking
first,first,first
at,at,at
you,your,your
leg,leg,leg
you,You,You
have,have,have
a,a,a
big,big,big
gash,gash,gash
arm,Arm,Arms
feel,feel,feel
good,good,good
anything,Anything,Anything
to,to,to
stop,stop,stop
the,the,the
bleed,bleed,bleeding
I,I,I'm
be,m,
have,have,having
difficulty,difficulty,difficulty
breathe,breathe,breathing
I,I,I'm
be,m,
get,get,getting
a,a,a
heaviness,heavy,heaviness
in,in,in
my,my,my
chest,chest,chest
I,I,I'm
be,m,
ok,ok,ok
just,just,just
shake,shake,shaken
up,up,up
